
-0.111162  0.0127466 3.75151e-06  3.23185e-06 -0.0121854  0.601054 -0.133126  0.228539 
-0.0345214  0.0127217 1.32932e-06  3.38812e-06 -0.0134065  0.603211 -0.133821  0.214609 
-0.085968  0.0127386 2.98906e-06  3.28266e-06 -0.012808  0.601637 -0.133371  0.223979 
0.115408  0.01267 -4.28527e-06  3.71642e-06 -0.0150289  0.605746 -0.134731  0.186853 
-0.110602  0.0127464 3.73492e-06  3.23298e-06 -0.0121994  0.601068 -0.133131  0.228438 
-0.0602343  0.0127302 2.17606e-06  3.33512e-06 -0.013122  0.602458 -0.133605  0.219302 
-0.0596751  0.01273 2.15801e-06  3.33626e-06 -0.0131282  0.602476 -0.13361  0.2192 
-0.0099463  0.0127135 4.88043e-07  3.44006e-06 -0.013676  0.603842 -0.134012  0.210106 
0.115963  0.0126698 -4.30822e-06  3.71768e-06 -0.0150358  0.60575 -0.134733  0.186748 
0.0402592  0.0126965 -1.32734e-06  3.54888e-06 -0.0142189  0.604864 -0.134351  0.20085 
-0.0350801  0.0127219 1.34808e-06  3.38696e-06 -0.0134004  0.603195 -0.133817  0.214711 
-0.0356389  0.012722 1.36683e-06  3.3858e-06 -0.0133942  0.60318 -0.133812  0.214813 
-0.0607935  0.0127304 2.19409e-06  3.33397e-06 -0.0131158  0.602441 -0.1336  0.219404 
-0.009388  0.0127133 4.68568e-07  3.44126e-06 -0.0136821  0.603855 -0.134016  0.210003 
0.0397019  0.0126967 -1.30647e-06  3.54765e-06 -0.0142129  0.604855 -0.134347  0.200953 
0.0653303  0.0126878 -2.28222e-06  3.60414e-06 -0.0144859  0.605241 -0.134495  0.196199 
0.0658872  0.0126876 -2.3038e-06  3.60537e-06 -0.0144918  0.605248 -0.134498  0.196095 
0.0157248  0.0127049 -4.24019e-07  3.4954e-06 -0.0139549  0.604409 -0.134193  0.205382 
-0.0854084  0.0127384 2.97175e-06  3.28379e-06 -0.0128217  0.601649 -0.133377  0.223877 
0.0903799  0.012679 -3.26828e-06  3.65998e-06 -0.0147499  0.605529 -0.134621  0.191533 
-0.0848488  0.0127382 2.95442e-06  3.28493e-06 -0.0128355  0.601661 -0.133382  0.223776 
0.0647734  0.012688 -2.26066e-06  3.6029e-06 -0.01448  0.605234 -0.134491  0.196302 
0.114852  0.0126702 -4.26234e-06  3.71516e-06 -0.0150219  0.605741 -0.134729  0.186957 
0.0909363  0.0126788 -3.29054e-06  3.66123e-06 -0.0147558  0.605534 -0.134624  0.191429 
-0.0105046  0.0127137 5.07502e-07  3.43887e-06 -0.0136699  0.603828 -0.134007  0.210208 
0.0898234  0.0126792 -3.24603e-06  3.65873e-06 -0.0147441  0.605523 -0.134619  0.191637 
0.0146091  0.0127053 -3.83675e-07  3.49298e-06 -0.0139429  0.604387 -0.134186  0.205588 
0.0408166  0.0126963 -1.34822e-06  3.5501e-06 -0.0142249  0.604874 -0.134354  0.200746 
-0.110042  0.0127463 3.71832e-06  3.2341e-06 -0.0122133  0.601082 -0.133137  0.228337 
0.0151669  0.0127051 -4.03839e-07  3.49419e-06 -0.0139489  0.604398 -0.134189  0.205485 
