
-1.38787  0.00657478 0.000171707  1.02269e-06 0.00413921  0.382684 -0.0813418  0.311191 
-1.34776  0.00657138 0.000174735  1.00502e-06 0.00384097  0.388638 -0.0824315  0.306686 
-1.37481  0.00657369 0.000172704  1.01692e-06 0.00404289  0.384648 -0.0816992  0.309728 
-1.38739  0.00657474 0.000171744  1.02247e-06 0.00413569  0.382757 -0.0813549  0.311137 
-1.36129  0.00657254 0.000173726  1.01096e-06 0.0039423  0.386657 -0.0820669  0.308208 
-1.36081  0.0065725 0.000173761  1.01075e-06 0.00393872  0.386727 -0.0820798  0.308155 
-1.3352  0.00657033 0.000175663  9.99902e-07 0.00374623  0.390455 -0.0827677  0.305268 
-1.30912  0.00656807 0.000177557  9.88519e-07 0.00354752  0.394153 -0.0834573  0.302316 
-1.34824  0.00657142 0.0001747  1.00523e-06 0.00384457  0.388569 -0.0824187  0.30674 
-1.34872  0.00657146 0.000174664  1.00544e-06 0.00384816  0.388499 -0.0824058  0.306794 
-1.36177  0.00657258 0.00017369  1.01117e-06 0.00394587  0.386586 -0.0820539  0.308262 
-1.33472  0.00657029 0.000175698  9.99693e-07 0.00374261  0.390524 -0.0827804  0.305214 
-1.3096  0.00656811 0.000177522  9.88727e-07 0.00355118  0.394086 -0.0834448  0.30237 
-1.32168  0.00656916 0.00017665  9.93995e-07 0.00364354  0.392384 -0.0831265  0.30374 
-1.37434  0.00657364 0.00017274  1.01671e-06 0.00403934  0.38472 -0.0817123  0.309674 
-1.37386  0.0065736 0.000172777  1.0165e-06 0.0040358  0.384791 -0.0817253  0.309621 
-1.33568  0.00657037 0.000175628  1.00011e-06 0.00374985  0.390387 -0.0827549  0.305322 
-1.32263  0.00656924 0.000176581  9.94412e-07 0.00365083  0.392249 -0.0831013  0.303848 
-1.38691  0.0065747 0.00017178  1.02226e-06 0.00413217  0.382829 -0.0813681  0.311084 
-1.32216  0.0065692 0.000176615  9.94203e-07 0.00364719  0.392316 -0.0831139  0.303794 
